Time (s),Voltage (V)
0.0,45
0.010442256927490234,45
0.02069234848022461,45
0.03125,45
0.041783809661865234,45
0.05232596397399902,45
0.0625457763671875,45
0.07296061515808105,45
0.08362722396850586,45
0.09396791458129883,45
0.10459613800048828,45
0.11512112617492676,45
0.12575054168701172,45
0.1363210678100586,45
0.14688467979431152,45
0.15712213516235352,45
0.16761398315429688,45
0.1781775951385498,45
0.1887216567993164,45
0.1993708610534668,45
0.209761381149292,45
0.22011876106262207,45
0.2308356761932373,45
0.24155735969543457,45
0.2521517276763916,45
0.2627863883972168,45
0.2734074592590332,45
0.2837800979614258,45
0.2941608428955078,45
0.3044261932373047,45
0.31506824493408203,45
0.3254077434539795,45
0.3357574939727783,45
0.34643125534057617,45
0.3569200038909912,45
0.3670172691345215,45
0.37732720375061035,45
0.38781094551086426,45
0.3983302116394043,45
0.40883564949035645,45
0.4189894199371338,45
0.42938899993896484,45
0.4402644634246826,45
0.4509696960449219,45
0.46167802810668945,45
0.47231507301330566,45
0.48259806632995605,45
0.49335479736328125,45
0.5040364265441895,45
0.514519214630127,45
0.5251269340515137,45
0.5354418754577637,45
0.5459654331207275,45
0.5566604137420654,45
0.5672409534454346,45
0.5777673721313477,45
0.5883705615997314,45
0.5986201763153076,45
0.6089849472045898,45
0.6191408634185791,45
0.6296608448028564,45
0.6400916576385498,45
0.6505811214447021,45
0.6610474586486816,45
0.6712906360626221,45
0.68153977394104,45
0.6918215751647949,45
0.7024953365325928,45
0.7131021022796631,45
0.7235863208770752,45
0.7342061996459961,45
0.7448527812957764,45
0.755396842956543,45
0.7657108306884766,45
0.7763001918792725,45
0.7868530750274658,45
0.7971251010894775,45
0.8078615665435791,45
0.817983865737915,45
0.8283796310424805,45
0.8387861251831055,45
0.849346399307251,45
0.8599846363067627,45
0.8705401420593262,45
0.8808252811431885,45
0.8911004066467285,45
0.9017903804779053,45
0.9123175144195557,45
0.9227702617645264,45
0.9334867000579834,45
0.9441144466400146,45
0.9548497200012207,45
0.9651315212249756,45
0.975776195526123,45
0.9864182472229004,45
0.9967083930969238,45
1.0070478916168213,45
1.0176036357879639,45
1.0281381607055664,45
1.0386977195739746,45
1.0492372512817383,45
1.0595710277557373,45
1.0698692798614502,45
1.0800015926361084,45
1.0906267166137695,45
1.1011018753051758,45
1.1114895343780518,45
1.1220109462738037,45
1.132214069366455,45
1.142672061920166,45
1.1528887748718262,45
1.1635801792144775,45
1.1737122535705566,45
1.1840248107910156,45
1.1946487426757812,45
1.2052950859069824,45
1.2156715393066406,45
1.2259931564331055,45
1.2365081310272217,45
1.247058629989624,45
1.2575809955596924,45
1.268113374710083,45
1.278839349746704,45
1.2893650531768799,45
1.3000187873840332,45
1.3106157779693604,45
1.3210480213165283,45
1.3316597938537598,45
1.3422272205352783,45
1.3527586460113525,45
1.3632783889770508,45
1.3737900257110596,45
1.3843066692352295,45
1.3948431015014648,45
1.404963493347168,45
1.4155840873718262,45
1.4263262748718262,45
1.4367239475250244,45
1.4472603797912598,45
1.4574811458587646,45
1.4680817127227783,45
1.4786345958709717,45
1.4892714023590088,45
1.4999914169311523,45
1.510361671447754,45
1.520998239517212,45
1.5313868522644043,45
1.541865348815918,45
1.5522875785827637,45
1.5625863075256348,45
